time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-01-28T23:20:04.732Z,61.4275,-149.9089,30.8,1.6,ml,,,,0.63,ak,ak0201aouzfc,2020-01-28T23:25:38.638Z,"10km SSE of Big Lake, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-01-28T23:18:37.420Z,35.0573333,-118.3221667,0.07,1.99,ml,34,34,0.06846,0.23,ci,ci39285400,2020-01-28T23:22:44.432Z,"14km W of Mojave, CA",earthquake,0.29,31.61,0.227,26,automatic,ci,ci
2020-01-28T23:07:06.490Z,33.4568333,-116.5686667,11.22,1.66,ml,53,46,0.04703,0.18,ci,ci39285384,2020-01-28T23:10:45.345Z,"15km SE of Anza, CA",earthquake,0.19,0.41,0.2,26,automatic,ci,ci
2020-01-28T23:02:20.720Z,33.2163333,-116.3615,22.03,0.86,ml,16,175,0.06965,0.26,ci,ci39285376,2020-01-28T23:06:08.821Z,"5km SSE of Borrego Springs, CA",earthquake,1.04,1.41,0.174,16,automatic,ci,ci
2020-01-28T22:45:01.308Z,19.0758,-80.1375,10,4.4,mb,,76,2.608,0.84,us,us60007ik6,2020-01-28T23:18:30.040Z,"105km ESE of East End, Cayman Islands",earthquake,7.7,1.9,0.084,41,reviewed,us,us
2020-01-28T22:43:30.166Z,61.7,-150.0679,40.6,1.9,ml,,,,0.61,ak,ak0201aoej8p,2020-01-28T22:57:35.900Z,"5km SSW of Willow, Alaska",earthquake,,1.2,,,automatic,ak,ak
2020-01-28T22:32:06.257Z,-0.2296,29.7826,10,4.7,mb,,80,1.024,1.05,us,us60007ik2,2020-01-28T22:50:19.040Z,"39km W of Rubirizi, Uganda",earthquake,7.7,1,0.114,23,reviewed,us,us
2020-01-28T22:30:51.963Z,60.846,-150.9348,15.7,1.6,ml,,,,0.31,ak,ak0201aobsmd,2020-01-28T22:33:56.801Z,"25km NE of Nikiski, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-01-28T22:30:01.369Z,63.262,-151.6889,9.4,1.9,ml,,,,1.15,ak,ak0201aoboq6,2020-01-28T22:57:35.284Z,"132km NW of Talkeetna, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-01-28T22:21:16.180Z,19.2119999,-155.4416656,31.58,2.11,md,44,148,0.04884,0.17,hv,hv71356347,2020-01-28T22:24:38.440Z,"4km E of Pahala, Hawaii",earthquake,0.64,0.89,0.16,24,automatic,hv,hv
2020-01-28T22:18:59.980Z,37.467,-118.7295,2.74,0.75,md,6,130,0.1461,0.1,nc,nc73333046,2020-01-28T23:15:04.052Z,"11km SSW of Toms Place, CA",earthquake,0.71,31.61,0.206,6,reviewed,nc,nc
2020-01-28T22:16:09.821Z,18.9592,-80.6849,10,4.4,mb,,122,3.075,0.9,us,us60007ije,2020-01-28T23:05:20.040Z,"59km SE of East End, Cayman Islands",earthquake,7.7,2,0.126,18,reviewed,us,us
2020-01-28T22:14:36.300Z,38.8388329,-122.8291702,2.24,0.6,md,13,102,0.004939,0.01,nc,nc73333036,2020-01-28T22:27:03.755Z,"9km NW of The Geysers, CA",earthquake,0.31,0.64,0.01,2,automatic,nc,nc
2020-01-28T22:01:24.080Z,39.382,-123.3093338,2.72,1.37,md,7,145,0.08955,0.14,nc,nc73333026,2020-01-28T22:46:03.877Z,"5km SE of Willits, CA",earthquake,1.03,13.08,0.08,6,automatic,nc,nc
2020-01-28T21:58:03.840Z,33.8068333,-116.9545,11.68,0.89,ml,31,44,0.106,0.24,ci,ci39285360,2020-01-28T22:01:49.234Z,"3km N of San Jacinto, CA",earthquake,0.38,0.96,0.092,24,automatic,ci,ci
2020-01-28T21:55:16.165Z,18.9457,-80.7142,10,6.1,mww,,77,3.099,0.88,us,us60007iig,2020-01-28T23:25:34.078Z,"57km SE of East End, Cayman Islands",earthquake,8.1,1.9,0.098,10,reviewed,us,us
2020-01-28T21:44:58.270Z,35.1603,27.9018,10,4.5,mb,,121,1.066,0.77,us,us60007ii1,2020-01-28T22:43:27.040Z,"73km ESE of Karpathos, Greece",earthquake,7.4,1.9,0.075,53,reviewed,us,us
2020-01-28T21:43:53.692Z,60.1802,-151.3874,35.2,1.8,ml,,,,0.55,ak,ak0201ant5gi,2020-01-28T21:56:09.036Z,"21km SSW of Cohoe, Alaska",earthquake,,6.9,,,automatic,ak,ak
2020-01-28T21:41:59.690Z,37.458,-118.7325,3.1,1.58,md,16,143,0.1525,0.06,nc,nc73333021,2020-01-28T23:19:03.081Z,"12km SSW of Toms Place, CA",earthquake,0.33,1.7,0.322,16,reviewed,nc,nc
2020-01-28T21:40:53.450Z,33.3256667,-116.3568333,9.63,1.06,ml,34,96,0.05388,0.22,ci,ci39285352,2020-01-28T21:51:30.720Z,"8km NNE of Borrego Springs, CA",earthquake,0.3,0.59,0.144,27,reviewed,ci,ci
2020-01-28T21:39:42.280Z,37.586834,-119.0136642,1.92,1.65,md,17,224,0.02577,0.04,nc,nc73333016,2020-01-28T22:11:02.654Z,"6km SSW of Mammoth Lakes, CA",earthquake,0.87,0.53,0.19,16,automatic,nc,nc
2020-01-28T21:32:19.572Z,36.61073303,-98.13829803,14.68280697,2.07,ml,13,190.1000671,0.1635694504,1.078008472,ok,ok2020byzf,2020-01-28T21:35:30.417Z,"13km ENE of Helena, Oklahoma",earthquake,8.478880882,4.877776897,,10,automatic,ok,ok
2020-01-28T21:06:55.170Z,38.8261681,-122.7988358,2.58,0.58,md,19,61,0.01391,0.02,nc,nc73333006,2020-01-28T21:39:04.452Z,"7km NW of The Geysers, CA",earthquake,0.25,0.7,0.04,3,automatic,nc,nc
2020-01-28T21:04:15.130Z,37.5945,-119.0101667,1.5,1.43,md,21,89,0.02028,0.06,nc,nc73333001,2020-01-28T23:09:05.477Z,"6km SSW of Mammoth Lakes, CA",earthquake,0.32,0.38,0.281,20,reviewed,nc,nc
2020-01-28T20:59:59.428Z,19.0973,-80.9201,10,4.9,mb,,34,3.324,1.21,us,us60007ih2,2020-01-28T22:15:52.583Z,"30km SE of East End, Cayman Islands",earthquake,6.8,1.9,0.029,376,reviewed,us,us
2020-01-28T20:41:37.406Z,61.4158,-146.6245,22,2.3,ml,,,,0.81,ak,ak0201an7964,2020-01-28T20:56:09.136Z,"35km NNW of Valdez, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-01-28T20:39:46.801Z,19.2523,-79.0001,10,4.7,mb,,52,1.723,0.99,us,us60007ig2,2020-01-28T22:56:20.373Z,"124km NW of Lucea, Jamaica",earthquake,6.4,1.9,0.038,213,reviewed,us,us
